Year,us,us,us,us,us,de,de,de,de,de,uk,uk,uk,uk,uk,fr,fr,fr,fr,fr,ca,ca,ca,ca,ca,it,it,it,it,it,jp,jp,jp,jp,jp,au,au,au,au,au,be,be,be,be,be,fi,fi,fi,fi,fi,ie,ie,ie,ie,ie,nl,nl,nl,nl,nl,no,no,no,no,no,ch,ch,ch,ch,ch,se,se,se,se,se,es,es,es,es,es,pt,pt,pt,pt,pt,dk,dk,dk,dk,dk
,r* 2.5 percentile,r* 16 percentile,r* median,r* 84 percentile,r* 97.5 percentile,r* 2.5 percentile,r* 16 percentile,r* median,r* 84 percentile,r* 97.5 percentile,r* 2.5 percentile,r* 16 percentile,r* median,r* 84 percentile,r* 97.5 percentile,r* 2.5 percentile,r* 16 percentile,r* median,r* 84 percentile,r* 97.5 percentile,r* 2.5 percentile,r* 16 percentile,r* median,r* 84 percentile,r* 97.5 percentile,r* 2.5 percentile,r* 16 percentile,r* median,r* 84 percentile,r* 97.5 percentile,r* 2.5 percentile,r* 16 percentile,r* median,r* 84 percentile,r* 97.5 percentile,r* 2.5 percentile,r* 16 percentile,r* median,r* 84 percentile,r* 97.5 percentile,r* 2.5 percentile,r* 16 percentile,r* median,r* 84 percentile,r* 97.5 percentile,r* 2.5 percentile,r* 16 percentile,r* median,r* 84 percentile,r* 97.5 percentile,r* 2.5 percentile,r* 16 percentile,r* median,r* 84 percentile,r* 97.5 percentile,r* 2.5 percentile,r* 16 percentile,r* median,r* 84 percentile,r* 97.5 percentile,r* 2.5 percentile,r* 16 percentile,r* median,r* 84 percentile,r* 97.5 percentile,r* 2.5 percentile,r* 16 percentile,r* median,r* 84 percentile,r* 97.5 percentile,r* 2.5 percentile,r* 16 percentile,r* median,r* 84 percentile,r* 97.5 percentile,r* 2.5 percentile,r* 16 percentile,r* median,r* 84 percentile,r* 97.5 percentile,r* 2.5 percentile,r* 16 percentile,r* median,r* 84 percentile,r* 97.5 percentile,r* 2.5 percentile,r* 16 percentile,r* median,r* 84 percentile,r* 97.5 percentile
1870,0.165528037406318,1.06437830366607,1.98077502434115,2.89042883584563,3.7760449439296,-0.218239256967359,0.656165158287745,1.58473700652715,2.52296288396238,3.45350616004509,-1.06623690130707,-0.177474637795987,0.738313097433105,1.66720818967736,2.56149150035565,-0.772245643594947,0.180517332514462,1.17129994810456,2.17818456894653,3.12191268478051,-0.243375872774967,0.632680496170396,1.54655023191354,2.49226897334346,3.40944895998202,0.248968310013012,1.19126326784539,2.17148543456462,3.1575009065713,4.15024985846842,0.60382606597768,1.62021815020737,2.66155409678408,3.7067311430466,4.71713578056114,-0.0188404681344094,0.859756293014455,1.80195198335548,2.79687358314907,3.79418924320028,-0.192144050036718,0.714933088683783,1.64938811744418,2.60452405517904,3.53771693906976,-0.43470560412452,0.535447256587261,1.54776594311364,2.59988691754697,3.60430398443182,-0.325239664121225,0.635640530820443,1.64199601662702,2.67346749523594,3.69742407317286,-0.325181135783542,0.554302253279402,1.4707055531542,2.40441143639852,3.30663980239839,0.119829817632602,1.00362617995159,1.93585741440011,2.91090721547272,3.8561806279498,0.0693770191443779,0.937064031124598,1.8380095043436,2.77330421094353,3.67398838566748,-0.347415579002956,0.578542991478787,1.53570189111011,2.49271538941925,3.45596015930184,-0.127106090499615,0.794846256162037,1.75857266177752,2.78296121434177,3.7854112746273,0.278065456336814,1.23778693296262,2.27652040449181,3.38129682059178,4.47707350426974,-0.158902838606319,0.734213902127446,1.65268296543101,2.58770129370204,3.52258397951634
1871,0.27803011055417,1.16490569896744,2.09744674208605,3.02711419382934,3.92732841685425,-0.389236569184036,0.52384962358462,1.48184459195696,2.44982625358152,3.38246524270601,-1.05493649611061,-0.18409399545894,0.734217661408586,1.69004940176778,2.61030543476245,-0.831119939620106,0.118723620386798,1.11605629921234,2.14756605826542,3.10710870801485,-0.286215614730036,0.592843211351858,1.50999788193858,2.46613874184863,3.40298794973162,0.226953550569336,1.18509296761625,2.16294397886127,3.17247415355219,4.19330988033227,0.742129141811887,1.81692161164267,2.89104923655707,3.96197384788023,4.97553975552297,-0.00231034482539383,0.868685923527907,1.82123935067607,2.81027229575002,3.80504235838016,-0.0324833388110163,0.858540227761125,1.80131408912591,2.75784912763142,3.69791449608145,-0.496272013702553,0.477816638522466,1.51375991921765,2.58352564270619,3.62964292581382,-0.461993272313841,0.535311835807737,1.57040324146578,2.64071708654809,3.69088521018127,-0.305436907931153,0.554684499425757,1.46681311227403,2.40490264756836,3.32604827672979,0.102381731500839,0.968582103758673,1.90039213562876,2.87367269307698,3.8251068912361,0.0262206698503801,0.901122356711853,1.81538889804807,2.75898754922927,3.67954317861851,-0.405910917872589,0.511279964677014,1.47929038497766,2.44288828349669,3.3985531705017,-0.0507363309664236,0.859747241665544,1.82976063867001,2.84701746692048,3.84210607784276,0.160200117953974,1.1598096225994,2.24694533037803,3.38068855299518,4.4902220780391,-0.115875031396153,0.761897056036313,1.69315610290484,2.63524514425679,3.60430416876185
1872,0.628122829492361,1.51096784383944,2.46273350933169,3.42734977830238,4.33539522063374,-0.186909411902348,0.771438329893622,1.78550391772571,2.8134838407518,3.81309597986293,-0.539211829236872,0.378812109608474,1.33981234528985,2.34150565969078,3.29942600890071,-0.775631872132846,0.208525107620191,1.2536338866758,2.32291063983395,3.34834885775484,-0.00994929768275821,0.886228069391341,1.84646858948471,2.8295061877206,3.79105842206152,0.296041639799792,1.25831800483772,2.26071673499079,3.31546196190879,4.34128684425163,1.28432421014641,2.38642498179084,3.50193991352563,4.63153211644864,5.71448123143481,0.272314760415293,1.18947014055787,2.15096594190923,3.13876716716925,4.14282710939934,0.220476998845772,1.1515762474239,2.10665460361804,3.08175982504894,4.02077736720981,-0.166491327482295,0.805789506575689,1.8337507075974,2.92913006406124,4.02363358003771,-0.383765835932194,0.636097466232391,1.71018465263238,2.85654657480109,3.95990598600121,0.127366679128026,0.992453566723745,1.92832012094954,2.87321676395084,3.80324210044656,0.358510970693445,1.24863861525054,2.19834470921127,3.17573877348986,4.10651029001352,0.39884781400085,1.2773683297379,2.19582296414577,3.14689998595512,4.0840004576039,-0.18228206957429,0.751969176544161,1.71855776726106,2.69834682177378,3.62258810650052,0.253131572050368,1.20172854471334,2.18698153132805,3.19109461083291,4.13649604095727,0.272990051468638,1.31085030461857,2.41947504932906,3.58339986802039,4.7256724928396,0.245552143315532,1.1551532738367,2.10378607419801,3.06710271185994,4.03014329764908
1873,0.289082682097447,1.24995601855878,2.31438647157392,3.41184182613133,4.45787017931008,-0.740454265487599,0.377498814109166,1.55164294308216,2.78717438569714,3.93245424322844,-1.03753329230925,-0.00180457627755493,1.11091385641831,2.29498615388105,3.4981475527196,-1.73492330607024,-0.558045367814604,0.72203550990481,2.03383868136539,3.31133731636296,-0.559281195309768,0.459407239514207,1.60915199909377,2.82159715254398,3.9597834982482,0.0371599230715756,1.16932255770495,2.37338302274144,3.62103643977882,4.84690376136893,1.12654127944946,2.3447311367826,3.64307821172386,5.02308731331231,6.41213220263054,0.0921170655896723,1.1637117433045,2.2832617708143,3.52150432116998,4.75388511974234,0.000349529053056408,1.08646317056451,2.18425324296582,3.31078864296754,4.46035740599544,-0.623197809214098,0.495863321010849,1.69066113865328,2.99063208063527,4.34573119523659,-0.739615869007829,0.413626949131579,1.67562814712538,3.0303884135716,4.39595644350357,-0.269214249527907,0.729743513561171,1.81391548072082,2.94152737445184,4.04574883200572,0.0704690405151953,1.06830836614659,2.11847306232351,3.2554635243578,4.40060456692973,0.00209126783223756,1.02245311282335,2.07655156616353,3.1787407007354,4.28092607775675,-0.410127470730512,0.596694853056581,1.69929972079282,2.81360399041206,3.89251741808957,0.346735376434016,1.37779694953798,2.50442389021892,3.63560254337104,4.72868989505141,-0.250680510802647,0.965026871374612,2.26755604918088,3.66273051210291,5.08721209956368,-0.0923801377856656,0.921594797310681,2.02495369144613,3.17656912353037,4.33024488234681
1874,-0.189140219482089,0.896189983474602,2.08573634845196,3.2808136763252,4.4086415977633,-1.07049142987784,0.179856885125296,1.49882895356545,2.87039090313923,4.16350071150823,-1.38843282804153,-0.184809789801556,1.0561639082743,2.34554029878079,3.69592186584444,-2.64748182888747,-1.23801537600896,0.256692214269834,1.7762815235344,3.20649848317771,-0.911541282413982,0.235990726224449,1.51858659093487,2.90069262887132,4.20603416006096,-0.32756781608379,1.01158819358745,2.42444607171687,3.89044555158012,5.30092230666141,1.04974977820459,2.42099601556243,3.86573264710738,5.41864750807349,7.0320705397428,0.0338527543159473,1.24094064321275,2.52042013134296,3.96164220202185,5.38922042138841,-0.186058472712674,1.02334461610791,2.26696780230354,3.52351929402354,4.84571779302169,-0.830350183744844,0.42269125125583,1.76341947393346,3.26132656029377,4.81845143612075,-0.991880020766766,0.337590724337658,1.77393922716858,3.35537551372772,4.93224012427421,-0.592172272223426,0.532710289428058,1.75175341324796,3.03467695033962,4.27680894072075,-0.288419043056269,0.81536760596731,2.00349431587542,3.29618945638974,4.58935049644618,-0.170801007824466,0.9799152571276,2.18355375129792,3.40707638243626,4.63486136432261,-0.481958878090087,0.632525117217554,1.8720472722025,3.13793580766136,4.36655577938998,0.209598726768184,1.3752682181336,2.62249811960043,3.89946224853542,5.1139181645409,-0.592151119652714,0.811375043251995,2.30870820480411,3.95226176748147,5.60854437499131,-0.429837644514012,0.69674174818184,1.91614411713321,3.23745033665555,4.54747879805143
1875,0.0634065250491356,1.18116929426223,2.32956424911028,3.49972731307157,4.61631225133588,-0.66560500296571,0.551231451863672,1.82627429442561,3.16666780032701,4.46479483591806,-1.00892704858664,0.197713076903547,1.43859393567924,2.69444920357986,4.01302916661916,-2.25336629919831,-0.932931533090359,0.477149414080131,1.93007568221336,3.33067239512861,-0.511845324163156,0.584950338287237,1.8072494565452,3.14716456808117,4.41442604119791,-0.107160913248723,1.20543760756938,2.55674323655147,4.00485598315552,5.43544697184863,1.55955768051705,2.92062775708768,4.316787532181,5.83222248403707,7.45240605475163,0.311318795705363,1.49872646606842,2.74155484276168,4.151563268327,5.60067083491203,0.0326979182303869,1.24361910417602,2.49886628996542,3.74623490548533,5.00985389454566,-0.380457657135228,0.845330900037656,2.15720074527882,3.61338542313586,5.13574252463046,-0.714638257823121,0.57865425336588,1.98573427142311,3.56825313749719,5.11212017563894,-0.105760426161986,0.974796524493714,2.14829877055379,3.37440510961799,4.60800527103765,0.174268537105393,1.23230741210412,2.37127157694997,3.65070746315963,4.92215969786841,0.238033886353517,1.34919867436438,2.50459811503357,3.687972415823,4.89270743556838,-0.264505042533838,0.833299023768873,2.04252588147196,3.27314209731481,4.46520963126218,0.440398453858648,1.55173218914491,2.77503951073208,4.02767376483658,5.21982159068505,-0.26620484266642,1.0793372657113,2.54860501391245,4.1501716287991,5.84299615226727,0.0216914696017643,1.12873795257037,2.3066673957845,3.56258169931792,4.85831520313106
1876,-0.169668761375925,0.993911488015238,2.20742293743706,3.44193902103241,4.58860343409671,-1.0158318591993,0.384230477644471,1.79523336080433,3.25055962000053,4.63171426193997,-1.52648578358612,-0.157464466528533,1.18460679226343,2.54551338642604,3.92540962778018,-2.91389116769088,-1.40971177793491,0.175766930602437,1.75081719380254,3.24880715889791,-0.92924177914441,0.30182307043789,1.66288394047132,3.11145716768806,4.42062214650075,-0.358848396850329,1.07071950726191,2.56334796668513,4.09960166213599,5.5948991680245,1.32736719838673,2.8832074101293,4.40859292319409,6.0111778045493,7.64902384047032,0.149301129792703,1.43598673344744,2.79804661150208,4.32409780546581,5.83840299253044,-0.210876315726872,1.11661000913932,2.48107972986259,3.81241693836578,5.15152501316308,-0.746023022713806,0.615186175470458,2.06120118494202,3.63550292262584,5.25150911872232,-1.057411991736,0.367693779631247,1.91412304821724,3.60893274424755,5.25803786927602,-0.32196720325259,0.883200418468763,2.15905255633096,3.48717654796997,4.73678715537662,0.0406014902055217,1.17642508092321,2.41277661035974,3.77692335103903,5.15705317608829,-0.123650346941452,1.13417564946128,2.41478240826343,3.67251558822985,4.90205131138781,-0.535654926622751,0.672050121120155,2.01029948342245,3.32344324978873,4.58816231292237,0.411110659778171,1.66111639027862,2.99676459237499,4.32710672974023,5.57133991320009,-0.737503018663988,0.809788215232345,2.42645231611624,4.15328479243951,5.94925592169453,-0.212318286832199,1.02312252869056,2.31237247874373,3.67715788419741,5.02384326977619
1877,-0.324485104627688,0.861775090928513,2.09269549368094,3.34468174510422,4.50891193906566,-0.975297820768274,0.367915830258281,1.75935990259126,3.22038165013208,4.60668382836168,-1.72221029617619,-0.370025728705597,0.971888401711073,2.34042177046018,3.74049658275172,-3.01033751981582,-1.51193193647885,0.0591090635773519,1.66178066781947,3.16770569357595,-0.991029749320389,0.209064997701714,1.56000673744818,3.01560267739528,4.35926098619506,-0.285442470028326,1.11133647291034,2.58423395626005,4.10450911889293,5.61807593504529,1.35022582199769,2.85048947582328,4.37401824637899,5.99491813253902,7.59743053329721,0.0956011242944075,1.3916923144571,2.76613697384085,4.29485926511061,5.86493988850728,-0.225546309729399,1.10932409228348,2.4739519184777,3.79552847832028,5.13979365115253,-0.634942831266856,0.709557620635513,2.12032423479496,3.68727098573064,5.29236251482565,-1.01352083853365,0.399629338528097,1.92089061568361,3.62222439660712,5.29183805154577,-0.355616037938065,0.832196779820343,2.10717578795279,3.46004001572102,4.76249467782075,0.0269095714103831,1.17231200273263,2.42111337383421,3.80054002320713,5.25453803421623,-0.0831111324846918,1.12605459875447,2.40106507980278,3.66841121959042,4.87415239903916,-0.49464491259416,0.684167134740018,2.00930529863798,3.33684330490628,4.60766961777633,0.295710422672622,1.53192210469719,2.87269923345881,4.20907681214374,5.45905583586397,-0.704684405032707,0.79586388919796,2.40555177741207,4.1402593181866,5.95905544598199,-0.281298143193391,0.9601376266685,2.25980588638706,3.637722483183,4.99656110599314
1878,-0.104104248613081,1.02225054216344,2.18016641515972,3.36571586498673,4.51367100171246,-0.762148437481543,0.484165975380871,1.77744160811663,3.11522680807449,4.41107939758683,-1.62911506176608,-0.351123027000683,0.918468151111701,2.18522620346665,3.49374127058649,-2.7145261503712,-1.32943296195934,0.11800783306088,1.60960178384639,3.03793726861141,-0.80862533280336,0.326821961654816,1.57763237191865,2.9340991205114,4.19066918839683,-0.144844765537804,1.16631302945529,2.53414364242866,3.948044404465,5.36340472489228,1.55867441847497,2.95332418563868,4.37800768985911,5.89599788111912,7.41779408402782,0.153113230171397,1.38783159319707,2.69082145325378,4.15325172297835,5.65342798413096,-0.0296806821312052,1.19944543961121,2.48090458265614,3.72022209635912,4.98582556515462,-0.466093946003841,0.804348924097573,2.12299456248266,3.56070738077992,5.03642241395403,-0.937833694039117,0.392385333481872,1.85578143464219,3.48198938011929,5.04677679822776,-0.11311100566629,0.978825630432923,2.16802660543559,3.42861735591884,4.64397763062662,0.234055651455709,1.33260479684953,2.51274690043861,3.81111370709905,5.17124112557161,0.185630000289422,1.30639918235104,2.49139745721728,3.68121561700399,4.82352564087645,-0.393764986658485,0.73761215347012,1.98837564662345,3.24110569439393,4.43224837761751,0.300406552740298,1.48640780543358,2.73919430025841,4.00631017749258,5.19435309423079,-0.432593507144152,0.972496574434823,2.49737997502936,4.12472738604362,5.78483033946689,-0.093138052996243,1.05777210428055,2.25982303301312,3.51609311053616,4.80562590504043
